seed_case,seed_rank,source_record_id,target_key,required_feature_count,missing_feature_value_count,missing_feature_values_preview,all_feature_values_present,model_input_status
observed_normal_all_horizons,1,179273,spi12,111,44,"tws, tws_lag1, tws_lag2, tws_lag3, tws_lag6, tws_lag12, tws_rollmean3, tws_rollmean6, tws_rollmean12, tws_anom, tws_grace, tws_grace_lag1, tws_grace_lag2, tws_grace_lag3, tws_grace_lag6, tws_grace_lag12, tws_grace_rollmean3, tws_grace_rollmean6, tws_grace_rollmean12, tws_grace_anom, tws_seq_lag12, tws_seq_lag24, tws_seq_rollmean24, tws_seq_rollstd24, tws_seq_delta12, tws_seq_delta24, tws_anom_seq_lag12, tws_anom_seq_lag24, tws_anom_seq_rollmean24, tws_anom_seq_rollstd24, tws_anom_seq_delta12, tws_anom_seq_delta24, tws_grace_seq_lag12, tws_grace_seq_lag24, tws_grace_seq_rollmean24, tws_grace_seq_rollstd24, tws_grace_seq_delta12, tws_grace_seq_delta24, tws_grace_anom_seq_lag12, tws_grace_anom_seq_lag24",False,ready_subject_to_model_missing_value_policy
observed_normal_all_horizons,2,1205143,spi3,23,0,,True,ready_no_missing_values
observed_normal_all_horizons,2,1205143,spi6,33,0,,True,ready_no_missing_values
observed_normal_all_horizons,2,1205143,spi12,111,0,,True,ready_no_missing_values
observed_normal_all_horizons,3,461472,spi3,23,0,,True,ready_no_missing_values
observed_normal_all_horizons,3,461472,spi6,33,0,,True,ready_no_missing_values
observed_normal_all_horizons,3,461472,spi12,111,14,"tws_lag1, tws_lag2, tws_lag3, tws_lag6, tws_rollmean3, tws_rollmean6, tws_rollmean12, tws_grace_lag1, tws_grace_lag2, tws_grace_lag3, tws_grace_lag6, tws_grace_rollmean3, tws_grace_rollmean6, tws_grace_rollmean12",False,ready_subject_to_model_missing_value_policy
observed_persistent_drought,2,1256606,spi3,23,0,,True,ready_no_missing_values
observed_persistent_drought,2,1256606,spi6,33,0,,True,ready_no_missing_values
observed_persistent_drought,2,1256606,spi12,111,14,"tws_lag6, tws_lag12, tws_rollmean12, tws_grace_lag6, tws_grace_lag12, tws_grace_rollmean12, tws_seq_lag12, tws_seq_delta12, tws_anom_seq_lag12, tws_anom_seq_delta12, tws_grace_seq_lag12, tws_grace_seq_delta12, tws_grace_anom_seq_lag12, tws_grace_anom_seq_delta12",False,ready_subject_to_model_missing_value_policy
observed_seasonal_drought,1,230736,spi3,23,0,,True,ready_no_missing_values
observed_seasonal_drought,1,230736,spi6,33,10,"ndvi, ndvi_lag1, ndvi_lag2, ndvi_lag3, ndvi_lag6, ndvi_lag12, ndvi_rollmean3, ndvi_rollmean6, ndvi_rollmean12, ndvi_anom",False,ready_subject_to_model_missing_value_policy
observed_seasonal_drought,1,230736,spi12,111,44,"tws, tws_lag1, tws_lag2, tws_lag3, tws_lag6, tws_lag12, tws_rollmean3, tws_rollmean6, tws_rollmean12, tws_anom, tws_grace, tws_grace_lag1, tws_grace_lag2, tws_grace_lag3, tws_grace_lag6, tws_grace_lag12, tws_grace_rollmean3, tws_grace_rollmean6, tws_grace_rollmean12, tws_grace_anom, tws_seq_lag12, tws_seq_lag24, tws_seq_rollmean24, tws_seq_rollstd24, tws_seq_delta12, tws_seq_delta24, tws_anom_seq_lag12, tws_anom_seq_lag24, tws_anom_seq_rollmean24, tws_anom_seq_rollstd24, tws_anom_seq_delta12, tws_anom_seq_delta24, tws_grace_seq_lag12, tws_grace_seq_lag24, tws_grace_seq_rollmean24, tws_grace_seq_rollstd24, tws_grace_seq_delta12, tws_grace_seq_delta24, tws_grace_anom_seq_lag12, tws_grace_anom_seq_lag24",False,ready_subject_to_model_missing_value_policy
observed_seasonal_drought,2,795134,spi3,23,0,,True,ready_no_missing_values
observed_seasonal_drought,2,795134,spi6,33,0,,True,ready_no_missing_values
observed_seasonal_drought,2,795134,spi12,111,30,"tws, tws_lag1, tws_lag2, tws_lag6, tws_lag12, tws_rollmean3, tws_rollmean6, tws_rollmean12, tws_anom, tws_grace, tws_grace_lag1, tws_grace_lag2, tws_grace_lag6, tws_grace_lag12, tws_grace_rollmean3, tws_grace_rollmean6, tws_grace_rollmean12, tws_grace_anom, tws_seq_lag12, tws_seq_delta12, tws_seq_delta24, tws_anom_seq_lag12, tws_anom_seq_delta12, tws_anom_seq_delta24, tws_grace_seq_lag12, tws_grace_seq_delta12, tws_grace_seq_delta24, tws_grace_anom_seq_lag12, tws_grace_anom_seq_delta12, tws_grace_anom_seq_delta24",False,ready_subject_to_model_missing_value_policy
observed_seasonal_drought,3,564398,spi3,23,0,,True,ready_no_missing_values
observed_seasonal_drought,3,564398,spi6,33,0,,True,ready_no_missing_values
observed_seasonal_drought,3,564398,spi12,111,0,,True,ready_no_missing_values
observed_short_term_drought,1,1308069,spi3,23,0,,True,ready_no_missing_values
observed_short_term_drought,1,1308069,spi6,33,0,,True,ready_no_missing_values
observed_short_term_drought,1,1308069,spi12,111,30,"tws, tws_lag1, tws_lag3, tws_lag6, tws_lag12, tws_rollmean3, tws_rollmean6, tws_rollmean12, tws_anom, tws_grace, tws_grace_lag1, tws_grace_lag3, tws_grace_lag6, tws_grace_lag12, tws_grace_rollmean3, tws_grace_rollmean6, tws_grace_rollmean12, tws_grace_anom, tws_seq_lag12, tws_seq_delta12, tws_seq_delta24, tws_anom_seq_lag12, tws_anom_seq_delta12, tws_anom_seq_delta24, tws_grace_seq_lag12, tws_grace_seq_delta12, tws_grace_seq_delta24, tws_grace_anom_seq_lag12, tws_grace_anom_seq_delta12, tws_grace_anom_seq_delta24",False,ready_subject_to_model_missing_value_policy
observed_short_term_drought,2,1796120,spi3,23,0,,True,ready_no_missing_values
observed_short_term_drought,2,1796120,spi6,33,10,"ndvi, ndvi_lag1, ndvi_lag2, ndvi_lag3, ndvi_lag6, ndvi_lag12, ndvi_rollmean3, ndvi_rollmean6, ndvi_rollmean12, ndvi_anom",False,ready_subject_to_model_missing_value_policy
observed_short_term_drought,2,1796120,spi12,111,44,"tws, tws_lag1, tws_lag2, tws_lag3, tws_lag6, tws_lag12, tws_rollmean3, tws_rollmean6, tws_rollmean12, tws_anom, tws_grace, tws_grace_lag1, tws_grace_lag2, tws_grace_lag3, tws_grace_lag6, tws_grace_lag12, tws_grace_rollmean3, tws_grace_rollmean6, tws_grace_rollmean12, tws_grace_anom, tws_seq_lag12, tws_seq_lag24, tws_seq_rollmean24, tws_seq_rollstd24, tws_seq_delta12, tws_seq_delta24, tws_anom_seq_lag12, tws_anom_seq_lag24, tws_anom_seq_rollmean24, tws_anom_seq_rollstd24, tws_anom_seq_delta12, tws_anom_seq_delta24, tws_grace_seq_lag12, tws_grace_seq_lag24, tws_grace_seq_rollmean24, tws_grace_seq_rollstd24, tws_grace_seq_delta12, tws_grace_seq_delta24, tws_grace_anom_seq_lag12, tws_grace_anom_seq_lag24",False,ready_subject_to_model_missing_value_policy
observed_short_term_drought,3,308778,spi3,23,0,,True,ready_no_missing_values
observed_short_term_drought,3,308778,spi6,33,0,,True,ready_no_missing_values
observed_short_term_drought,3,308778,spi12,111,22,"tws_grace, tws_grace_lag1, tws_grace_lag2, tws_grace_lag3, tws_grace_lag6, tws_grace_lag12, tws_grace_rollmean3, tws_grace_rollmean6, tws_grace_rollmean12, tws_grace_anom, tws_grace_seq_lag12, tws_grace_seq_lag24, tws_grace_seq_rollmean24, tws_grace_seq_rollstd24, tws_grace_seq_delta12, tws_grace_seq_delta24, tws_grace_anom_seq_lag12, tws_grace_anom_seq_lag24, tws_grace_anom_seq_rollmean24, tws_grace_anom_seq_rollstd24, tws_grace_anom_seq_delta12, tws_grace_anom_seq_delta24",False,ready_subject_to_model_missing_value_policy
